index,German,IPA,English,Topic
0,die Beziehung,/diː betsiːhuŋ/,relationship,01 Personal Life and Relationships
1,die Freundschaft,/diː frɔʏndʃaft/,friendship,01 Personal Life and Relationships
2,der Bekannte,/der bekannte/,acquaintance,01 Personal Life and Relationships
3,die Bekannte,/diː bekannte/,acquaintance,01 Personal Life and Relationships
4,sich verstehen,/siç verstehen/,to get along,01 Personal Life and Relationships
5,sich verlieben,/siç verliːben/,to fall in love,01 Personal Life and Relationships
6,streiten,/straɪten/,to argue,01 Personal Life and Relationships
7,sich entschuldigen,/siç entʃuldigen/,to apologize,01 Personal Life and Relationships
8,vertrauen,/vertraʊen/,to trust,01 Personal Life and Relationships
9,unterstützen,/unterstyttsen/,to support,01 Personal Life and Relationships
10,die Beziehung ist wichtig,/diː betsiːhuŋ ist viçtig/,the relationship is important,01 Personal Life and Relationships
11,die Freundschaft ist wichtig,/diː frɔʏndʃaft ist viçtig/,the friendship is important,01 Personal Life and Relationships
12,der Bekannte ist wichtig,/der bekannte ist viçtig/,the acquaintance is important,01 Personal Life and Relationships
13,die Bekannte ist wichtig,/diː bekannte ist viçtig/,the acquaintance is important,01 Personal Life and Relationships
14,der Partner ist wichtig,/der partner ist viçtig/,the partner is important,01 Personal Life and Relationships
15,die Partnerin ist wichtig,/diː partnerin ist viçtig/,the partner is important,01 Personal Life and Relationships
16,die Partnerschaft,/diː partnerʃaft/,partnership,01 Personal Life and Relationships
17,der Streit,/der straɪt/,argument,01 Personal Life and Relationships
18,der Unterschied,/der unterʃiːd/,difference,01 Personal Life and Relationships
19,die Gemeinsamkeit,/diː gemaɪnsamkaɪt/,similarity,01 Personal Life and Relationships
20,Kontakt halten,/kontakt halten/,to keep in touch,01 Personal Life and Relationships
21,sich gut verstehen,/siç gut verstehen/,to get along well,01 Personal Life and Relationships
22,einander helfen,/aɪnander helfen/,to help each other,01 Personal Life and Relationships
23,Zeit miteinander verbringen,/tsaɪt mitaɪnander verbriŋen/,to spend time together,01 Personal Life and Relationships
24,über die Beziehung sprechen,/yber diː betsiːhuŋ spreçen/,to talk about relationship,01 Personal Life and Relationships
25,über die Freundschaft sprechen,/yber diː frɔʏndʃaft spreçen/,to talk about friendship,01 Personal Life and Relationships
26,über der Bekannte sprechen,/yber der bekannte spreçen/,to talk about acquaintance,01 Personal Life and Relationships
27,über die Bekannte sprechen,/yber diː bekannte spreçen/,to talk about acquaintance,01 Personal Life and Relationships
28,sich verstehen können,/siç verstehen kønnen/,to be able to get along,01 Personal Life and Relationships
29,sich verlieben können,/siç verliːben kønnen/,to be able to fall in love,01 Personal Life and Relationships
30,streiten können,/straɪten kønnen/,to be able to argue,01 Personal Life and Relationships
31,sich entschuldigen können,/siç entʃuldigen kønnen/,to be able to apologize,01 Personal Life and Relationships
32,vertrauen können,/vertraʊen kønnen/,to be able to trust,01 Personal Life and Relationships
33,unterstützen können,/unterstyttsen kønnen/,to be able to support,01 Personal Life and Relationships
34,über die Beziehung ist wichtig sprechen,/yber diː betsiːhuŋ ist viçtig spreçen/,to talk about the relationship is important,01 Personal Life and Relationships
35,über die Freundschaft ist wichtig sprechen,/yber diː frɔʏndʃaft ist viçtig spreçen/,to talk about the friendship is important,01 Personal Life and Relationships
36,über der Bekannte ist wichtig sprechen,/yber der bekannte ist viçtig spreçen/,to talk about the acquaintance is important,01 Personal Life and Relationships
37,über die Bekannte ist wichtig sprechen,/yber diː bekannte ist viçtig spreçen/,to talk about the acquaintance is important,01 Personal Life and Relationships
38,über der Partner ist wichtig sprechen,/yber der partner ist viçtig spreçen/,to talk about the partner is important,01 Personal Life and Relationships
